Date,Product_Category,Region,Units_Sold,Unit_Price,Total_Sales,Month,Year,Day_of_Week,Quarter
2022-01-02,Clothing,South,21,18.59,390.35,1,2022,Sunday,Q1
2022-01-02,Clothing,East,14,27.27,381.74,1,2022,Sunday,Q1
2022-01-02,Clothing,West,18,20.9,376.18,1,2022,Sunday,Q1
2022-01-02,Groceries,North,41,21.25,871.39,1,2022,Sunday,Q1
2022-01-02,Groceries,South,28,32.75,916.93,1,2022,Sunday,Q1
2022-01-02,Groceries,East,68,13.16,894.94,1,2022,Sunday,Q1
2022-01-02,Groceries,West,17,51.39,873.66,1,2022,Sunday,Q1
2022-01-02,Furniture,North,25,10.6,264.91,1,2022,Sunday,Q1
2022-01-02,Furniture,South,7,43.37,303.56,1,2022,Sunday,Q1
2022-01-02,Furniture,East,7,45.16,316.14,1,2022,Sunday,Q1
2022-01-02,Furniture,West,24,13.05,313.15,1,2022,Sunday,Q1
2022-01-02,Sports,North,6,51.67,310.04,1,2022,Sunday,Q1
2022-01-02,Sports,South,9,36.22,325.94,1,2022,Sunday,Q1
2022-01-02,Sports,East,14,22.92,320.84,1,2022,Sunday,Q1
2022-01-02,Sports,West,14,23.55,329.64,1,2022,Sunday,Q1
2022-01-03,Electronics,North,11,48.38,532.22,1,2022,Monday,Q1
2022-01-03,Electronics,South,18,30.47,548.53,1,2022,Monday,Q1
2022-01-03,Electronics,East,12,43.22,518.69,1,2022,Monday,Q1
2022-01-03,Electronics,West,15,32.57,488.49,1,2022,Monday,Q1
2022-01-03,Clothing,North,9,34.09,306.77,1,2022,Monday,Q1
2022-01-03,Clothing,South,13,27.29,354.78,1,2022,Monday,Q1
2022-01-03,Clothing,East,13,23.88,310.45,1,2022,Monday,Q1
2022-01-03,Clothing,West,9,33.21,298.87,1,2022,Monday,Q1
2022-01-03,Groceries,North,30,26.71,801.25,1,2022,Monday,Q1
2022-01-03,Groceries,South,20,40.93,818.56,1,2022,Monday,Q1
2022-01-03,Groceries,East,16,48.97,783.59,1,2022,Monday,Q1
2022-01-03,Groceries,West,18,44.04,792.79,1,2022,Monday,Q1
2022-01-03,Furniture,North,5,47.06,235.31,1,2022,Monday,Q1
2022-01-03,Furniture,South,12,18.14,217.71,1,2022,Monday,Q1
2022-01-03,Furniture,East,4,52.69,210.76,1,2022,Monday,Q1
2022-01-03,Furniture,West,5,47.38,236.9,1,2022,Monday,Q1
2022-01-03,Sports,North,12,19.73,236.78,1,2022,Monday,Q1
2022-01-03,Sports,South,9,27.56,248.01,1,2022,Monday,Q1
2022-01-03,Sports,East,25,10.67,266.73,1,2022,Monday,Q1
2022-01-03,Sports,West,8,33.21,265.67,1,2022,Monday,Q1
2022-01-04,Electronics,North,31,15.1,468.01,1,2022,Tuesday,Q1
2022-01-04,Electronics,South,21,23.71,497.85,1,2022,Tuesday,Q1
2022-01-04,Electronics,East,16,31.6,505.63,1,2022,Tuesday,Q1
2022-01-04,Electronics,West,13,40.2,522.59,1,2022,Tuesday,Q1
2022-01-04,Clothing,North,6,53.03,318.2,1,2022,Tuesday,Q1
2022-01-04,Clothing,South,15,20.55,308.24,1,2022,Tuesday,Q1
2022-01-04,Clothing,East,11,22.99,252.91,1,2022,Tuesday,Q1
2022-01-04,Clothing,West,26,11.91,309.67,1,2022,Tuesday,Q1
2022-01-04,Groceries,North,67,12.12,812.28,1,2022,Tuesday,Q1
2022-01-04,Groceries,South,41,21.57,884.37,1,2022,Tuesday,Q1
2022-01-04,Groceries,East,50,16.09,804.7,1,2022,Tuesday,Q1
2022-01-04,Groceries,West,27,30.35,819.52,1,2022,Tuesday,Q1
2022-01-04,Furniture,North,12,20.4,244.76,1,2022,Tuesday,Q1
2022-01-04,Furniture,South,5,46.61,233.03,1,2022,Tuesday,Q1
2022-01-04,Furniture,East,7,36.08,252.55,1,2022,Tuesday,Q1
2022-01-04,Furniture,West,5,33.68,168.41,1,2022,Tuesday,Q1
2022-01-04,Sports,North,19,12.14,230.75,1,2022,Tuesday,Q1
2022-01-04,Sports,South,7,34.78,243.48,1,2022,Tuesday,Q1
2022-01-04,Sports,East,5,42.79,213.95,1,2022,Tuesday,Q1
2022-01-04,Sports,West,15,17.5,262.53,1,2022,Tuesday,Q1
2022-01-05,Electronics,North,10,48.55,485.51,1,2022,Wednesday,Q1
2022-01-05,Electronics,South,36,15.54,559.59,1,2022,Wednesday,Q1
2022-01-05,Electronics,East,10,48.96,489.6,1,2022,Wednesday,Q1
2022-01-05,Electronics,West,11,45.77,503.43,1,2022,Wednesday,Q1
2022-01-05,Clothing,North,7,48.21,337.5,1,2022,Wednesday,Q1
2022-01-05,Clothing,South,8,34.52,276.17,1,2022,Wednesday,Q1
2022-01-05,Clothing,East,19,13.94,264.87,1,2022,Wednesday,Q1
2022-01-05,Clothing,West,6,53.11,318.63,1,2022,Wednesday,Q1
2022-01-05,Groceries,North,34,24.14,820.89,1,2022,Wednesday,Q1
2022-01-05,Groceries,South,34,24.6,836.55,1,2022,Wednesday,Q1
2022-01-05,Groceries,East,18,46.04,828.75,1,2022,Wednesday,Q1
2022-01-05,Groceries,West,19,43.26,822.0,1,2022,Wednesday,Q1
2022-01-05,Furniture,North,11,17.52,192.69,1,2022,Wednesday,Q1
2022-01-05,Furniture,South,4,55.02,220.06,1,2022,Wednesday,Q1
2022-01-05,Furniture,East,21,10.57,221.89,1,2022,Wednesday,Q1
2022-01-05,Furniture,West,11,17.42,191.66,1,2022,Wednesday,Q1
2022-01-05,Sports,North,8,39.88,319.07,1,2022,Wednesday,Q1
2022-01-05,Sports,South,14,19.81,277.31,1,2022,Wednesday,Q1
2022-01-05,Sports,East,10,23.39,233.85,1,2022,Wednesday,Q1
2022-01-05,Sports,West,7,40.96,286.71,1,2022,Wednesday,Q1
2022-01-06,Electronics,North,15,36.31,544.62,1,2022,Thursday,Q1
2022-01-06,Electronics,South,16,33.01,528.1,1,2022,Thursday,Q1
2022-01-06,Electronics,East,24,21.18,508.35,1,2022,Thursday,Q1
2022-01-06,Electronics,West,24,20.55,493.1,1,2022,Thursday,Q1
2022-01-06,Clothing,North,6,52.23,313.4,1,2022,Thursday,Q1
2022-01-06,Clothing,South,9,36.22,325.95,1,2022,Thursday,Q1
2022-01-06,Clothing,East,9,35.12,316.11,1,2022,Thursday,Q1
2022-01-06,Clothing,West,12,29.94,359.32,1,2022,Thursday,Q1
2022-01-06,Groceries,North,39,21.4,834.49,1,2022,Thursday,Q1
2022-01-06,Groceries,South,71,11.13,790.0,1,2022,Thursday,Q1
2022-01-06,Groceries,East,16,48.97,783.59,1,2022,Thursday,Q1
2022-01-06,Groceries,West,17,48.83,830.19,1,2022,Thursday,Q1
2022-01-06,Furniture,North,19,11.0,209.01,1,2022,Thursday,Q1
2022-01-06,Furniture,South,5,47.43,237.14,1,2022,Thursday,Q1
2022-01-06,Furniture,East,4,57.48,229.91,1,2022,Thursday,Q1
2022-01-06,Furniture,West,4,53.38,213.53,1,2022,Thursday,Q1
2022-01-06,Sports,North,5,48.06,240.31,1,2022,Thursday,Q1
2022-01-06,Sports,South,9,24.47,220.27,1,2022,Thursday,Q1
2022-01-06,Sports,East,5,54.43,272.14,1,2022,Thursday,Q1
2022-01-06,Sports,West,6,38.06,228.34,1,2022,Thursday,Q1
2022-01-07,Electronics,North,14,35.13,491.82,1,2022,Friday,Q1
2022-01-07,Electronics,South,10,52.29,522.94,1,2022,Friday,Q1
2022-01-07,Electronics,East,11,47.28,520.08,1,2022,Friday,Q1
2022-01-07,Electronics,West,12,40.34,484.04,1,2022,Friday,Q1
2022-01-07,Clothing,North,14,25.06,350.82,1,2022,Friday,Q1
2022-01-07,Clothing,South,16,21.87,349.95,1,2022,Friday,Q1
2022-01-07,Clothing,East,7,47.68,333.78,1,2022,Friday,Q1
2022-01-07,Clothing,West,7,47.68,333.74,1,2022,Friday,Q1
2022-01-07,Groceries,North,19,43.88,833.78,1,2022,Friday,Q1
2022-01-07,Groceries,South,25,37.36,933.91,1,2022,Friday,Q1
2022-01-07,Groceries,East,18,47.05,846.95,1,2022,Friday,Q1
2022-01-07,Groceries,West,35,23.94,837.87,1,2022,Friday,Q1
2022-01-07,Furniture,North,5,39.03,195.15,1,2022,Friday,Q1
2022-01-07,Furniture,South,18,11.73,211.23,1,2022,Friday,Q1
2022-01-07,Furniture,East,13,22.14,287.77,1,2022,Friday,Q1
2022-01-07,Furniture,West,4,40.58,162.31,1,2022,Friday,Q1
2022-01-07,Sports,North,16,15.89,254.17,1,2022,Friday,Q1
2022-01-07,Sports,South,9,33.44,301.0,1,2022,Friday,Q1
2022-01-07,Sports,East,7,35.27,246.87,1,2022,Friday,Q1
2022-01-07,Sports,West,21,13.75,288.72,1,2022,Friday,Q1
2022-01-08,Electronics,North,19,31.7,602.31,1,2022,Saturday,Q1
2022-01-08,Electronics,South,16,36.34,581.39,1,2022,Saturday,Q1
2022-01-08,Electronics,East,12,45.02,540.19,1,2022,Saturday,Q1
2022-01-08,Electronics,West,29,20.92,606.54,1,2022,Saturday,Q1
2022-01-08,Clothing,North,34,11.09,377.17,1,2022,Saturday,Q1
2022-01-08,Clothing,South,8,49.69,397.5,1,2022,Saturday,Q1
2022-01-08,Clothing,East,15,27.74,416.09,1,2022,Saturday,Q1
2022-01-08,Clothing,West,25,17.08,426.91,1,2022,Saturday,Q1
2022-01-08,Groceries,North,27,32.84,886.69,1,2022,Saturday,Q1
2022-01-08,Groceries,South,22,40.06,881.34,1,2022,Saturday,Q1
2022-01-08,Groceries,East,17,50.77,863.12,1,2022,Saturday,Q1
2022-01-08,Groceries,West,23,40.37,928.48,1,2022,Saturday,Q1
2022-01-08,Furniture,North,13,28.05,364.61,1,2022,Saturday,Q1
2022-01-08,Furniture,South,16,20.74,331.92,1,2022,Saturday,Q1
2022-01-08,Furniture,East,32,10.59,338.95,1,2022,Saturday,Q1
2022-01-08,Furniture,West,19,14.72,279.71,1,2022,Saturday,Q1
2022-01-08,Sports,North,12,30.35,364.26,1,2022,Saturday,Q1
2022-01-08,Sports,South,26,14.39,374.18,1,2022,Saturday,Q1
2022-01-08,Sports,East,14,18.12,253.7,1,2022,Saturday,Q1
2022-01-08,Sports,West,11,29.11,320.21,1,2022,Saturday,Q1
2022-01-09,Electronics,North,18,36.25,652.52,1,2022,Sunday,Q1
2022-01-09,Electronics,South,47,11.93,560.64,1,2022,Sunday,Q1
2022-01-09,Electronics,East,21,30.8,646.78,1,2022,Sunday,Q1
2022-01-09,Electronics,West,12,46.71,560.47,1,2022,Sunday,Q1
2022-01-09,Clothing,North,29,12.9,374.1,1,2022,Sunday,Q1
2022-01-09,Clothing,South,11,37.95,417.41,1,2022,Sunday,Q1
2022-01-09,Clothing,East,8,50.71,405.64,1,2022,Sunday,Q1
2022-01-09,Clothing,West,11,35.64,391.99,1,2022,Sunday,Q1
2022-01-09,Groceries,North,33,28.82,951.13,1,2022,Sunday,Q1
2022-01-09,Groceries,South,27,32.09,866.41,1,2022,Sunday,Q1
2022-01-09,Groceries,East,18,49.94,898.99,1,2022,Sunday,Q1
2022-01-09,Groceries,West,19,48.48,921.2,1,2022,Sunday,Q1
2022-01-09,Furniture,North,24,13.0,311.98,1,2022,Sunday,Q1
2022-01-09,Furniture,South,12,23.74,284.87,1,2022,Sunday,Q1
2022-01-09,Furniture,East,19,15.05,285.87,1,2022,Sunday,Q1
2022-01-09,Furniture,West,8,41.13,329.03,1,2022,Sunday,Q1
2022-01-09,Sports,North,9,42.28,380.53,1,2022,Sunday,Q1
2022-01-09,Sports,South,8,45.35,362.77,1,2022,Sunday,Q1
2022-01-09,Sports,East,8,41.08,328.68,1,2022,Sunday,Q1
2022-01-09,Sports,West,7,48.11,336.74,1,2022,Sunday,Q1
2022-01-10,Electronics,North,21,25.02,525.52,1,2022,Monday,Q1
2022-01-10,Electronics,South,12,44.14,529.66,1,2022,Monday,Q1
2022-01-10,Electronics,East,12,45.21,542.56,1,2022,Monday,Q1
2022-01-10,Electronics,West,19,27.37,520.08,1,2022,Monday,Q1
2022-01-10,Clothing,North,24,14.62,350.91,1,2022,Monday,Q1
2022-01-10,Clothing,South,7,50.08,350.55,1,2022,Monday,Q1
2022-01-10,Clothing,East,16,22.83,365.31,1,2022,Monday,Q1
2022-01-10,Clothing,West,7,46.68,326.77,1,2022,Monday,Q1
2022-01-10,Groceries,North,17,49.17,835.87,1,2022,Monday,Q1
2022-01-10,Groceries,South,24,34.26,822.24,1,2022,Monday,Q1
2022-01-10,Groceries,East,36,22.27,801.6,1,2022,Monday,Q1
2022-01-10,Groceries,West,38,23.39,888.92,1,2022,Monday,Q1
2022-01-10,Furniture,North,6,43.48,260.89,1,2022,Monday,Q1
2022-01-10,Furniture,South,6,41.65,249.89,1,2022,Monday,Q1
2022-01-10,Furniture,East,18,12.54,225.78,1,2022,Monday,Q1
2022-01-10,Furniture,West,6,33.2,199.23,1,2022,Monday,Q1
2022-01-10,Sports,North,12,25.45,305.4,1,2022,Monday,Q1
2022-01-10,Sports,South,18,15.1,271.73,1,2022,Monday,Q1
2022-01-10,Sports,East,8,36.07,288.53,1,2022,Monday,Q1
2022-01-10,Sports,West,18,14.4,259.23,1,2022,Monday,Q1
2022-01-11,Electronics,North,41,13.08,536.08,1,2022,Tuesday,Q1
2022-01-11,Electronics,South,11,46.68,513.53,1,2022,Tuesday,Q1
2022-01-11,Electronics,East,38,13.54,514.6,1,2022,Tuesday,Q1
2022-01-11,Electronics,West,10,53.57,535.7,1,2022,Tuesday,Q1
2022-01-11,Clothing,North,6,47.55,285.29,1,2022,Tuesday,Q1
2022-01-11,Clothing,South,5,57.3,286.51,1,2022,Tuesday,Q1
2022-01-11,Clothing,East,7,43.88,307.18,1,2022,Tuesday,Q1
2022-01-11,Clothing,West,9,35.81,322.33,1,2022,Tuesday,Q1
2022-01-11,Groceries,North,59,14.48,854.46,1,2022,Tuesday,Q1
2022-01-11,Groceries,South,27,30.52,823.94,1,2022,Tuesday,Q1
2022-01-11,Groceries,East,67,12.36,828.18,1,2022,Tuesday,Q1
2022-01-11,Groceries,West,55,14.91,820.07,1,2022,Tuesday,Q1
2022-01-11,Furniture,North,5,47.68,238.42,1,2022,Tuesday,Q1
2022-01-11,Furniture,South,6,33.99,203.92,1,2022,Tuesday,Q1
2022-01-11,Furniture,East,10,22.55,225.47,1,2022,Tuesday,Q1
2022-01-11,Furniture,West,5,48.16,240.79,1,2022,Tuesday,Q1
2022-01-11,Sports,North,22,12.98,285.46,1,2022,Tuesday,Q1
2022-01-11,Sports,South,8,34.89,279.11,1,2022,Tuesday,Q1
2022-01-11,Sports,East,7,39.92,279.47,1,2022,Tuesday,Q1
2022-01-11,Sports,West,7,41.95,293.67,1,2022,Tuesday,Q1
2022-01-12,Electronics,North,17,35.05,595.91,1,2022,Wednesday,Q1
2022-01-12,Electronics,South,11,46.21,508.3,1,2022,Wednesday,Q1
2022-01-12,Electronics,East,28,21.32,597.01,1,2022,Wednesday,Q1
2022-01-12,Electronics,West,28,18.11,507.07,1,2022,Wednesday,Q1
2022-01-12,Clothing,North,8,33.45,267.6,1,2022,Wednesday,Q1
2022-01-12,Clothing,South,24,13.15,315.54,1,2022,Wednesday,Q1
2022-01-12,Clothing,East,15,22.77,341.57,1,2022,Wednesday,Q1
2022-01-12,Clothing,West,9,43.07,387.6,1,2022,Wednesday,Q1
2022-01-12,Groceries,North,17,47.32,804.36,1,2022,Wednesday,Q1
2022-01-12,Groceries,South,19,44.53,846.07,1,2022,Wednesday,Q1
2022-01-12,Groceries,East,16,49.48,791.71,1,2022,Wednesday,Q1
2022-01-12,Groceries,West,19,46.65,886.26,1,2022,Wednesday,Q1
2022-01-12,Furniture,North,5,53.34,266.7,1,2022,Wednesday,Q1
2022-01-12,Furniture,South,13,16.71,217.24,1,2022,Wednesday,Q1
2022-01-12,Furniture,East,3,59.97,179.92,1,2022,Wednesday,Q1
2022-01-12,Furniture,West,6,45.32,271.93,1,2022,Wednesday,Q1
2022-01-12,Sports,North,10,27.79,277.88,1,2022,Wednesday,Q1
2022-01-12,Sports,South,15,21.23,318.45,1,2022,Wednesday,Q1
2022-01-12,Sports,East,6,46.91,281.47,1,2022,Wednesday,Q1
2022-01-12,Sports,West,5,56.55,282.73,1,2022,Wednesday,Q1
2022-01-13,Electronics,North,18,28.91,520.39,1,2022,Thursday,Q1
2022-01-13,Electronics,South,36,15.35,552.57,1,2022,Thursday,Q1
2022-01-13,Electronics,East,28,19.2,537.5,1,2022,Thursday,Q1
2022-01-13,Electronics,West,14,39.24,549.32,1,2022,Thursday,Q1
2022-01-13,Clothing,North,19,15.15,287.86,1,2022,Thursday,Q1
2022-01-13,Clothing,South,10,37.22,372.22,1,2022,Thursday,Q1
2022-01-13,Clothing,East,12,31.7,380.42,1,2022,Thursday,Q1
2022-01-13,Clothing,West,7,48.19,337.36,1,2022,Thursday,Q1
2022-01-13,Groceries,North,19,47.14,895.71,1,2022,Thursday,Q1
2022-01-13,Groceries,South,33,26.87,886.55,1,2022,Thursday,Q1
2022-01-13,Groceries,East,22,38.78,853.25,1,2022,Thursday,Q1
2022-01-13,Groceries,West,47,18.62,874.95,1,2022,Thursday,Q1
2022-01-13,Furniture,North,10,26.56,265.64,1,2022,Thursday,Q1
2022-01-13,Furniture,South,6,30.19,181.13,1,2022,Thursday,Q1
2022-01-13,Furniture,East,7,32.26,225.81,1,2022,Thursday,Q1
2022-01-13,Furniture,West,6,42.57,255.41,1,2022,Thursday,Q1
2022-01-13,Sports,North,7,47.54,332.75,1,2022,Thursday,Q1
2022-01-13,Sports,South,5,48.5,242.49,1,2022,Thursday,Q1
2022-01-13,Sports,East,8,29.1,232.79,1,2022,Thursday,Q1
2022-01-13,Sports,West,5,56.44,282.22,1,2022,Thursday,Q1
2022-01-14,Electronics,North,13,36.49,474.43,1,2022,Friday,Q1
2022-01-14,Electronics,South,27,19.77,533.78,1,2022,Friday,Q1
2022-01-14,Electronics,East,31,17.66,547.45,1,2022,Friday,Q1
2022-01-14,Electronics,West,21,24.2,508.25,1,2022,Friday,Q1
2022-01-14,Clothing,North,9,37.17,334.57,1,2022,Friday,Q1
2022-01-14,Clothing,South,21,17.39,365.11,1,2022,Friday,Q1
2022-01-14,Clothing,East,18,17.81,320.54,1,2022,Friday,Q1
2022-01-14,Clothing,West,23,13.59,312.66,1,2022,Friday,Q1
2022-01-14,Groceries,North,45,18.52,833.24,1,2022,Friday,Q1
2022-01-14,Groceries,South,32,25.17,805.39,1,2022,Friday,Q1
2022-01-14,Groceries,East,77,11.63,895.39,1,2022,Friday,Q1
2022-01-14,Groceries,West,19,44.08,837.51,1,2022,Friday,Q1
2022-01-14,Furniture,North,4,53.86,215.46,1,2022,Friday,Q1
2022-01-14,Furniture,South,5,48.57,242.87,1,2022,Friday,Q1
2022-01-14,Furniture,East,5,46.62,233.08,1,2022,Friday,Q1
2022-01-14,Furniture,West,5,45.96,229.82,1,2022,Friday,Q1
2022-01-14,Sports,North,10,27.05,270.54,1,2022,Friday,Q1
2022-01-14,Sports,South,9,29.91,269.18,1,2022,Friday,Q1
2022-01-14,Sports,East,8,30.12,241.0,1,2022,Friday,Q1
2022-01-14,Sports,West,8,40.93,327.46,1,2022,Friday,Q1
2022-01-15,Electronics,North,20,31.81,636.3,1,2022,Saturday,Q1
2022-01-15,Electronics,South,20,31.42,628.34,1,2022,Saturday,Q1
2022-01-15,Electronics,East,19,32.38,615.17,1,2022,Saturday,Q1
2022-01-15,Electronics,West,29,20.36,590.34,1,2022,Saturday,Q1
2022-01-15,Clothing,North,36,11.01,396.31,1,2022,Saturday,Q1
2022-01-15,Clothing,South,16,23.52,376.34,1,2022,Saturday,Q1
2022-01-15,Clothing,East,27,14.8,399.61,1,2022,Saturday,Q1
2022-01-15,Clothing,West,8,48.32,386.56,1,2022,Saturday,Q1
2022-01-15,Groceries,North,23,42.16,969.62,1,2022,Saturday,Q1
2022-01-15,Groceries,South,31,30.5,945.45,1,2022,Saturday,Q1
2022-01-15,Groceries,East,27,34.12,921.32,1,2022,Saturday,Q1
2022-01-15,Groceries,West,22,40.6,893.16,1,2022,Saturday,Q1
2022-01-15,Furniture,North,13,22.15,287.89,1,2022,Saturday,Q1
2022-01-15,Furniture,South,12,26.11,313.29,1,2022,Saturday,Q1
2022-01-15,Furniture,East,14,24.77,346.79,1,2022,Saturday,Q1
2022-01-15,Furniture,West,7,53.76,376.29,1,2022,Saturday,Q1
2022-01-15,Sports,North,23,14.22,327.05,1,2022,Saturday,Q1
2022-01-15,Sports,South,23,16.78,385.89,1,2022,Saturday,Q1
2022-01-15,Sports,East,20,17.47,349.48,1,2022,Saturday,Q1
2022-01-15,Sports,West,16,22.15,354.39,1,2022,Saturday,Q1
2022-01-16,Electronics,North,23,27.09,623.0,1,2022,Sunday,Q1
2022-01-16,Electronics,South,12,49.72,596.62,1,2022,Sunday,Q1
2022-01-16,Electronics,East,12,51.2,614.38,1,2022,Sunday,Q1
2022-01-16,Electronics,West,13,45.72,594.32,1,2022,Sunday,Q1
2022-01-16,Clothing,North,24,16.84,404.24,1,2022,Sunday,Q1
2022-01-16,Clothing,South,12,37.02,444.21,1,2022,Sunday,Q1
2022-01-16,Clothing,East,12,35.38,424.52,1,2022,Sunday,Q1
2022-01-16,Clothing,West,20,22.2,444.09,1,2022,Sunday,Q1
2022-01-16,Groceries,North,39,23.12,901.67,1,2022,Sunday,Q1
2022-01-16,Groceries,South,34,27.61,938.66,1,2022,Sunday,Q1
2022-01-16,Groceries,East,59,14.79,872.72,1,2022,Sunday,Q1
2022-01-16,Groceries,West,26,35.5,922.99,1,2022,Sunday,Q1
2022-01-16,Furniture,North,21,16.22,340.7,1,2022,Sunday,Q1
2022-01-16,Furniture,South,9,30.19,271.7,1,2022,Sunday,Q1
2022-01-16,Furniture,East,12,25.17,301.99,1,2022,Sunday,Q1
2022-01-16,Furniture,West,21,15.38,322.97,1,2022,Sunday,Q1
2022-01-16,Sports,North,19,21.14,401.73,1,2022,Sunday,Q1
2022-01-16,Sports,South,9,39.36,354.24,1,2022,Sunday,Q1
2022-01-16,Sports,East,13,29.8,387.44,1,2022,Sunday,Q1
2022-01-16,Sports,West,15,27.65,414.79,1,2022,Sunday,Q1
2022-01-17,Electronics,North,12,46.78,561.38,1,2022,Monday,Q1
2022-01-17,Electronics,South,11,48.91,537.98,1,2022,Monday,Q1
2022-01-17,Electronics,East,11,50.47,555.21,1,2022,Monday,Q1
2022-01-17,Electronics,West,30,17.53,525.95,1,2022,Monday,Q1
2022-01-17,Clothing,North,10,34.67,346.67,1,2022,Monday,Q1
2022-01-17,Clothing,South,7,48.49,339.4,1,2022,Monday,Q1
2022-01-17,Clothing,East,19,18.64,354.2,1,2022,Monday,Q1
2022-01-17,Clothing,West,20,16.59,331.72,1,2022,Monday,Q1
2022-01-17,Groceries,North,23,37.21,855.91,1,2022,Monday,Q1
2022-01-17,Groceries,South,26,31.98,831.44,1,2022,Monday,Q1
2022-01-17,Groceries,East,33,26.37,870.21,1,2022,Monday,Q1
2022-01-17,Groceries,West,19,43.91,834.29,1,2022,Monday,Q1
2022-01-17,Furniture,North,6,30.49,182.93,1,2022,Monday,Q1
2022-01-17,Furniture,South,9,23.76,213.83,1,2022,Monday,Q1
2022-01-17,Furniture,East,12,20.39,244.62,1,2022,Monday,Q1
2022-01-17,Furniture,West,6,49.06,294.37,1,2022,Monday,Q1
2022-01-17,Sports,North,6,53.16,318.95,1,2022,Monday,Q1
2022-01-17,Sports,South,6,37.96,227.74,1,2022,Monday,Q1
2022-01-17,Sports,East,16,15.61,249.71,1,2022,Monday,Q1
2022-01-17,Sports,West,7,46.91,328.38,1,2022,Monday,Q1
2022-01-18,Electronics,North,12,47.13,565.57,1,2022,Tuesday,Q1
2022-01-18,Electronics,South,14,43.91,614.71,1,2022,Tuesday,Q1
2022-01-18,Electronics,East,26,20.49,532.81,1,2022,Tuesday,Q1
2022-01-18,Electronics,West,13,40.08,521.09,1,2022,Tuesday,Q1
2022-01-18,Clothing,North,8,43.59,348.74,1,2022,Tuesday,Q1
2022-01-18,Clothing,South,7,47.47,332.26,1,2022,Tuesday,Q1
2022-01-18,Clothing,East,26,14.53,377.71,1,2022,Tuesday,Q1
2022-01-18,Clothing,West,7,47.33,331.29,1,2022,Tuesday,Q1
2022-01-18,Groceries,North,20,41.92,838.49,1,2022,Tuesday,Q1
2022-01-18,Groceries,South,51,16.02,817.23,1,2022,Tuesday,Q1
2022-01-18,Groceries,East,22,39.51,869.3,1,2022,Tuesday,Q1
2022-01-18,Groceries,West,22,37.22,818.92,1,2022,Tuesday,Q1
2022-01-18,Furniture,North,12,21.58,258.99,1,2022,Tuesday,Q1
2022-01-18,Furniture,South,12,25.24,302.89,1,2022,Tuesday,Q1
2022-01-18,Furniture,East,6,32.2,193.23,1,2022,Tuesday,Q1
2022-01-18,Furniture,West,6,48.58,291.47,1,2022,Tuesday,Q1
2022-01-18,Sports,North,10,30.5,304.99,1,2022,Tuesday,Q1
2022-01-18,Sports,South,7,37.55,262.82,1,2022,Tuesday,Q1
2022-01-18,Sports,East,7,42.84,299.87,1,2022,Tuesday,Q1
2022-01-18,Sports,West,6,53.06,318.36,1,2022,Tuesday,Q1
2022-01-19,Electronics,North,15,35.03,525.38,1,2022,Wednesday,Q1
2022-01-19,Electronics,South,16,35.2,563.23,1,2022,Wednesday,Q1
2022-01-19,Electronics,East,12,49.74,596.89,1,2022,Wednesday,Q1
2022-01-19,Electronics,West,11,48.52,533.75,1,2022,Wednesday,Q1
2022-01-19,Clothing,North,6,53.23,319.4,1,2022,Wednesday,Q1
2022-01-19,Clothing,South,7,49.33,345.32,1,2022,Wednesday,Q1
2022-01-19,Clothing,East,10,35.08,350.76,1,2022,Wednesday,Q1
